identyfikator,skrajne_lata,link
AEp15,480,https://caak.upjp2.edu.pl/j/5fd9f6ca8fe5bb3c4fef4b1e/s/0/f
AEp35,1660,https://caak.upjp2.edu.pl/j/5fd9f6cea84a183c3fbab9e2/s/0/f
AEp80,1730,https://caak.upjp2.edu.pl/j/5e4a845085925c58390ac555/s/0/f
AEp81,1732,https://caak.upjp2.edu.pl/j/5f0d7c6565285c0903339d18/s/0/f
AEp82,1737,https://caak.upjp2.edu.pl/j/5f1a71493f5f2408d94abee2/s/0/f
AEp83,1738,https://caak.upjp2.edu.pl/j/5f0d7d738ec31f735295a94f/s/0/f
AEp87,1743,https://caak.upjp2.edu.pl/j/60a5194ba1fd3c0d6f2756b0/s/0/f
AEp88,1746,https://caak.upjp2.edu.pl/j/60a519a1b8ee080987a0285f/s/0/f
AEp89,1748,https://caak.upjp2.edu.pl/j/60a51a74b93d6c0967278bee/s/0/f
AEp90,1750,https://caak.upjp2.edu.pl/j/60a51addfcb1be07f560bfc1/s/0/f
AEp91,1752,https://caak.upjp2.edu.pl/j/60a62c36fdeed9095ec0e990/s/0/f
AEp92,1754,https://caak.upjp2.edu.pl/j/5f1031d578bbb208d7defdc7/s/0/f
AEp93,1756,https://caak.upjp2.edu.pl/j/5f2d40953ce7600867e3d3de/s/0/f
AEp94,1758,https://caak.upjp2.edu.pl/j/5f4f8e2f99b1ae0d2c1df953/s/0/f
AEp95,1757,https://caak.upjp2.edu.pl/j/5f105ad278bbb208d7df052b/s/0/f
AEp96,1758,https://caak.upjp2.edu.pl/j/5f0d8c7b3f5f2408d9485fec/s/0/f
AEp97,1758,https://caak.upjp2.edu.pl/j/5f0da2961536770904bff132/s/0/f
AEp98,1773,https://caak.upjp2.edu.pl/j/5f2bd0e3c7b200083bbe31a6/s/0/f
AEp99,1773,https://caak.upjp2.edu.pl/j/5f2bf33b5ec1890890969da6/s/0/f
AEp100,1773,https://caak.upjp2.edu.pl/j/5f6334fc9249af0ad4c5a232/s/0/f
AEp101,1782,https://caak.upjp2.edu.pl/j/60a657f38495dc0955f8848f/s/0/f
AEp102,1782,https://caak.upjp2.edu.pl/j/5f59eb1c4dbce3082cec6dfd/s/0/f
AEp103,1782,https://caak.upjp2.edu.pl/j/5f633200b4f16a0a7d276396/s/0/f
AEp104,1763,https://caak.upjp2.edu.pl/j/60a658d9d821e409356456cc/s/0/f
AEp105,1764,https://caak.upjp2.edu.pl/j/60a6593a18cc195ab86fc5f5/s/0/f
AEp106,1766,https://caak.upjp2.edu.pl/j/60a659de18cc195ab86fc5fa/s/0/f
AEp107,1769,https://caak.upjp2.edu.pl/j/60a65a66a0b2f25ee8c0d0d6/s/0/f
AEp108,1775,https://caak.upjp2.edu.pl/j/60e6d4a459a8ad5e381eb4eb/s/0/f
AEp109,1780,https://caak.upjp2.edu.pl/j/60e6d4bd4eb0f873e5e828cd/s/0/f
AEp110,1781,https://caak.upjp2.edu.pl/j/60e6d4e5822135619812579d/s/0/f
AEp111,1781,https://caak.upjp2.edu.pl/j/60e6d510f6ee3e1a7be48845/s/0/f
AEp112,1781,https://caak.upjp2.edu.pl/j/60e6d52692c63e2758433225/s/0/f
AEp113,1783,https://caak.upjp2.edu.pl/j/60e6d5324d1fcc2b340f6541/s/0/f
AEp114,1785,https://caak.upjp2.edu.pl/j/60e6d54b4eb0f873e5e8299a/s/0/f
AEp115,1787,https://caak.upjp2.edu.pl/j/60e6d566ec702c282485c918/s/0/f
AEp116,1789,https://caak.upjp2.edu.pl/j/60e6d59af6e9840d1bad6e96/s/0/f
AEp117,1789,https://caak.upjp2.edu.pl/j/60e6d5cd9d1b2334b76015b0/s/0/f
AEp118,1790,https://caak.upjp2.edu.pl/j/60e6d5e4f6e9840d1bad6ef2/s/0/f
AEp119,1790,https://caak.upjp2.edu.pl/j/60e6d5f7f6ee3e1a7be4897b/s/0/f
AEp120,1794,https://caak.upjp2.edu.pl/j/60e6d614ec702c282485c9e5/s/0/f
AEp121,1797,https://caak.upjp2.edu.pl/j/60e6d629f6e9840d1bad6f62/s/0/f
AEp122,1800,https://caak.upjp2.edu.pl/j/60e6d63dec702c282485c9f0/s/0/f
AEp123,1817,https://caak.upjp2.edu.pl/j/60e6d6504d1fcc2b340f659e/s/0/f
AEp124,1818,https://caak.upjp2.edu.pl/j/60e6d65cec702c282485c9f8/s/0/f
AEp125,1819,https://caak.upjp2.edu.pl/j/60e6d6734eb0f873e5e82aaa/s/0/f
AEp126,1819,https://caak.upjp2.edu.pl/j/60e6d684f6ee3e1a7be489c8/s/0/f
Aadm1,,https://caak.upjp2.edu.pl/j/5e42838133a040386152a9bb/s/0/f
Aadm2,,https://caak.upjp2.edu.pl/j/5e3c241d445e795858225922/s/0/f
Aadm3,1545-1546,https://caak.upjp2.edu.pl/j/5e42a30cd3b9d61aece6cd64/s/0/f
Aadm4,1546,https://caak.upjp2.edu.pl/j/5e43dfe55fbac11dd7389319/s/0/f
Aadm5,1550-1550,https://caak.upjp2.edu.pl/j/5e43ef3c1b28b362770dec86/s/0/f
Aadm6,1572-1572,https://caak.upjp2.edu.pl/j/5e4a5ea813e0af5864a7da2a/s/0/f
Aadm7,1591,https://caak.upjp2.edu.pl/j/5e4a719f13e0af5864a7e2d5/s/0/f
Aadm8,1600,https://caak.upjp2.edu.pl/j/5e4a7d4264a98b7072ba9751/s/0/f
Aadm9,1606-1607,https://caak.upjp2.edu.pl/j/5e564c6ae4b4d569f5565374/s/0/f
Aadm9a,1606-1607,https://caak.upjp2.edu.pl/j/5e5657dbf0c25e79af5dbeb1/s/0/f
Aadm10,1616,https://caak.upjp2.edu.pl/j/5e5666414a1503583a3e1941/s/0/f
Aadm15,1657-1658,https://caak.upjp2.edu.pl/j/5ea2b62eb3c7261dcd211e28/s/0/f
Aadm16,1680,https://caak.upjp2.edu.pl/j/5ea69e337346f71db9d78771/s/0/f
Aadm17,1681,https://caak.upjp2.edu.pl/j/5ea6bf93d5fa2a1dbd53b68f/s/0/f
Aadm18,1699,https://caak.upjp2.edu.pl/j/5ea7fcb76686c01d98900502/s/0/f
Aadm19,,https://caak.upjp2.edu.pl/j/5ea810d569bc731d9db3b190/s/0/f
Aadm20,,https://caak.upjp2.edu.pl/j/5eba66d48425ba0a10308a90/s/0/f
Aadm21,,https://caak.upjp2.edu.pl/j/5eba7427017c180a4077fe37/s/0/f
Aadm22,,https://caak.upjp2.edu.pl/j/5ec4f3c5f8027a0b2d623396/s/0/f
Aadm23,1707,https://caak.upjp2.edu.pl/j/5ec4fa34b970c20a0546014e/s/0/f
Aadm24,1719-1720,https://caak.upjp2.edu.pl/j/5ec4fe512cc5430a3ba4bf15/s/0/f
Aadm25,1732-1733,https://caak.upjp2.edu.pl/j/5ec78e43fb62a62b624e9a6e/s/0/f
Aadm26,1746,https://caak.upjp2.edu.pl/j/5ec7a09f017c180a4078dd75/s/0/f
Aadm27,1800,https://caak.upjp2.edu.pl/j/5ec7aca13126e52c128a075f/s/0/f
Aadm28,1841,https://caak.upjp2.edu.pl/j/5ec7b13e3caeaa0a34af765c/s/0/f
AG1,,https://caak.upjp2.edu.pl/j/5e427f93eaf77f6b39fb5211/s/0/f
AG2,,https://caak.upjp2.edu.pl/j/5e429527445e79585823a538/s/0/f
AG3,,https://caak.upjp2.edu.pl/j/5e42a84129fd527f3627d5e8/s/0/f
AG4,,https://caak.upjp2.edu.pl/j/5e43eca2e989ba5907d6ca1a/s/0/f
AG5,1784-1785,https://caak.upjp2.edu.pl/j/5e4fd0e5d3b9d61aececa2bd/s/0/f
AG6,,https://caak.upjp2.edu.pl/j/5e57aba55fa17b58888f6436/s/0/f
AG7,1786-1786,https://caak.upjp2.edu.pl/j/5e5e604e3e2e8847d13af884/s/0/f
AG8,,https://caak.upjp2.edu.pl/j/5e679116f0ec1d0486a298eb/s/0/f
AG9,,https://caak.upjp2.edu.pl/j/5e662818225d0b0593ed2908/s/0/f
AG10,1786-1787,https://caak.upjp2.edu.pl/j/5e6616af9a34a1057efe311f/s/0/f
AG11,,https://caak.upjp2.edu.pl/j/5e6778ce65643a0487fda4be/s/0/f
AG12,1788-1791,https://caak.upjp2.edu.pl/j/5ecd0774b910e40a2f75e8fe/s/0/f
AG13,1800-1803,https://caak.upjp2.edu.pl/j/5ebbdd4fb910e40a2f74c5b3/s/0/f
AG14,1803-1804,https://caak.upjp2.edu.pl/j/5ebd2939559c490a4cbf413a/s/0/f
AG15,,https://caak.upjp2.edu.pl/j/5ebd26166268a00a20b4b9f5/s/0/f
AEP71,,https://sdm.upjp2.edu.pl/obiekty-archiwalne/volumen-v-actorum-episcopalium-r-d-joannis-malachowski-episcopi-cracoviensis-ducis-severiae-per-annos-1690-et-1691-acticatorum-quorum-index-ad-finem-praesentis-voluminis-exhibetur-adnotatus
AEP72,,https://sdm.upjp2.edu.pl/obiekty-archiwalne/volumen-vi-actorum-episcopalium-r-d-joannis-malachowski-episcopi-cracoviensis-ducis-severiae-de-anno-1692-et-1693-quorum-index-ad-finem-videatur
AEP73,,https://sdm.upjp2.edu.pl/obiekty-archiwalne/volumen-vii-actorum-episcopalium-joannis-malachowski-episcopi-cracoviensis-ducis-severiae-de-anno-1694-1696-quorum-index-ad-finem-videatur
AEP74,,https://sdm.upjp2.edu.pl/obiekty-archiwalne/volumen-viii-actorum-episcopalium-r-d-joannis-malachowski-episcopi-cracoviensis-ducis-severiae-de-anno-1697-quorum-index-videatur-ad-finem
AEP75,,https://sdm.upjp2.edu.pl/obiekty-archiwalne/volumen-ix-actorum-episcopalium-r-d-joannis-malachowski-episcopi-cracoviensis-ducis-severiae-de-anno-1698-et-1699-ad-diem-7-augusti-quorum-index-videatur-ad-finem
AEP70,,https://sdm.upjp2.edu.pl/obiekty-archiwalne/acta-actorum-episcopalium-r-d-joannis-a-malachowice-malachowski-episcopi-cracoviensis-a-die-16-julii-anni-1688-et-1689-acticatorum-volumen-iv
AEP78,,https://sdm.upjp2.edu.pl/obiekty-archiwalne/acta-actorum-episcopalium-r-d-constantini-feliciani-in-szaniawy-szaniawski-episcopi-cracoviensis-ducis-severiae-per-annos-1720-1723-conscripta-volumen-i
AEP77,,https://sdm.upjp2.edu.pl/obiekty-archiwalne/acta-actorum-episcopalium-r-d-casimiri-a-lubna-lubinski-episcopi-cracoviensis-ducis-severiae-ab-anno-1714-ad-annum-1719-conscripta-volumen-ii
